         #_time (fs)    site                 |m|                 m%x                 m%y                 m%z
      0.00000000E+00       1      1.00000000E+00      5.71679116E-01      5.82652364E-01      5.77667042E-01
      0.00000000E+00       2      1.00000000E+00     -5.71679116E-01     -5.82652364E-01      5.77667042E-01
      1.00000000E-04       1      1.00000000E+00      5.65956142E-01      5.87901654E-01      5.77983815E-01
      1.00000000E-04       2      1.00000000E+00     -5.65956142E-01     -5.87901654E-01      5.77983815E-01
      2.00000000E-04       1      1.00000000E+00      5.60181815E-01      5.93097600E-01      5.78300588E-01
      2.00000000E-04       2      1.00000000E+00     -5.60181815E-01     -5.93097600E-01      5.78300588E-01
      3.00000000E-04       1      1.00000000E+00      5.54356610E-01      5.98239667E-01      5.78617361E-01
      3.00000000E-04       2      1.00000000E+00     -5.54356610E-01     -5.98239667E-01      5.78617361E-01
      4.00000000E-04       1      1.00000000E+00      5.48481003E-01      6.03327322E-01      5.78934133E-01
      4.00000000E-04       2      1.00000000E+00     -5.48481003E-01     -6.03327322E-01      5.78934133E-01
      5.00000000E-04       1      1.00000000E+00      5.42555482E-01      6.08360040E-01      5.79250905E-01
      5.00000000E-04       2      1.00000000E+00     -5.42555482E-01     -6.08360040E-01      5.79250905E-01
      6.00000000E-04       1      1.00000000E+00      5.36580535E-01      6.13337296E-01      5.79567675E-01
      6.00000000E-04       2      1.00000000E+00     -5.36580535E-01     -6.13337296E-01      5.79567675E-01
      7.00000000E-04       1      1.00000000E+00      5.30556661E-01      6.18258572E-01      5.79884444E-01
      7.00000000E-04       2      1.00000000E+00     -5.30556661E-01     -6.18258572E-01      5.79884444E-01
      8.00000000E-04       1      1.00000000E+00      5.24484360E-01      6.23123351E-01      5.80201211E-01
      8.00000000E-04       2      1.00000000E+00     -5.24484360E-01     -6.23123351E-01      5.80201211E-01
      9.00000000E-04       1      1.00000000E+00      5.18364141E-01      6.27931124E-01      5.80517976E-01
      9.00000000E-04       2      1.00000000E+00     -5.18364141E-01     -6.27931124E-01      5.80517976E-01
      1.00000000E-03       1      1.00000000E+00      5.12196517E-01      6.32681384E-01      5.80834739E-01
      1.00000000E-03       2      1.00000000E+00     -5.12196517E-01     -6.32681384E-01      5.80834739E-01
      1.10000000E-03       1      1.00000000E+00      5.05982008E-01      6.37373628E-01      5.81151499E-01
      1.10000000E-03       2      1.00000000E+00     -5.05982008E-01     -6.37373628E-01      5.81151499E-01
      1.20000000E-03       1      1.00000000E+00      4.99721139E-01      6.42007360E-01      5.81468257E-01
      1.20000000E-03       2      1.00000000E+00     -4.99721139E-01     -6.42007360E-01      5.81468257E-01
      1.30000000E-03       1      1.00000000E+00      4.93414438E-01      6.46582085E-01      5.81785011E-01
      1.30000000E-03       2      1.00000000E+00     -4.93414438E-01     -6.46582085E-01      5.81785011E-01
      1.40000000E-03       1      1.00000000E+00      4.87062444E-01      6.51097316E-01      5.82101762E-01
      1.40000000E-03       2      1.00000000E+00     -4.87062444E-01     -6.51097316E-01      5.82101762E-01
      1.50000000E-03       1      1.00000000E+00      4.80665696E-01      6.55552568E-01      5.82418509E-01
      1.50000000E-03       2      1.00000000E+00     -4.80665696E-01     -6.55552568E-01      5.82418509E-01
      1.60000000E-03       1      1.00000000E+00      4.74224741E-01      6.59947362E-01      5.82735252E-01
      1.60000000E-03       2      1.00000000E+00     -4.74224741E-01     -6.59947362E-01      5.82735252E-01
      1.70000000E-03       1      1.00000000E+00      4.67740133E-01      6.64281224E-01      5.83051991E-01
      1.70000000E-03       2      1.00000000E+00     -4.67740133E-01     -6.64281224E-01      5.83051991E-01
      1.80000000E-03       1      1.00000000E+00      4.61212428E-01      6.68553683E-01      5.83368725E-01
      1.80000000E-03       2      1.00000000E+00     -4.61212428E-01     -6.68553683E-01      5.83368725E-01
      1.90000000E-03       1      1.00000000E+00      4.54642189E-01      6.72764276E-01      5.83685454E-01
      1.90000000E-03       2      1.00000000E+00     -4.54642189E-01     -6.72764276E-01      5.83685454E-01
      2.00000000E-03       1      1.00000000E+00      4.48029984E-01      6.76912542E-01      5.84002178E-01
      2.00000000E-03       2      1.00000000E+00     -4.48029984E-01     -6.76912542E-01      5.84002178E-01
      2.10000000E-03       1      1.00000000E+00      4.41376388E-01      6.80998026E-01      5.84318897E-01
      2.10000000E-03       2      1.00000000E+00     -4.41376388E-01     -6.80998026E-01      5.84318897E-01
      2.20000000E-03       1      1.00000000E+00      4.34681978E-01      6.85020279E-01      5.84635609E-01
      2.20000000E-03       2      1.00000000E+00     -4.34681978E-01     -6.85020279E-01      5.84635609E-01
      2.30000000E-03       1      1.00000000E+00      4.27947339E-01      6.88978855E-01      5.84952316E-01
      2.30000000E-03       2      1.00000000E+00     -4.27947339E-01     -6.88978855E-01      5.84952316E-01
      2.40000000E-03       1      1.00000000E+00      4.21173059E-01      6.92873316E-01      5.85269017E-01
      2.40000000E-03       2      1.00000000E+00     -4.21173059E-01     -6.92873316E-01      5.85269017E-01
      2.50000000E-03       1      1.00000000E+00      4.14359733E-01      6.96703227E-01      5.85585711E-01
      2.50000000E-03       2      1.00000000E+00     -4.14359733E-01     -6.96703227E-01      5.85585711E-01
      2.60000000E-03       1      1.00000000E+00      4.07507960E-01      7.00468160E-01      5.85902398E-01
      2.60000000E-03       2      1.00000000E+00     -4.07507960E-01     -7.00468160E-01      5.85902398E-01
      2.70000000E-03       1      1.00000000E+00      4.00618343E-01      7.04167691E-01      5.86219077E-01
      2.70000000E-03       2      1.00000000E+00     -4.00618343E-01     -7.04167691E-01      5.86219077E-01
      2.80000000E-03       1      1.00000000E+00      3.93691493E-01      7.07801401E-01      5.86535750E-01
      2.80000000E-03       2      1.00000000E+00     -3.93691493E-01     -7.07801401E-01      5.86535750E-01
      2.90000000E-03       1      1.00000000E+00      3.86728022E-01      7.11368878E-01      5.86852414E-01
      2.90000000E-03       2      1.00000000E+00     -3.86728022E-01     -7.11368878E-01      5.86852414E-01
      3.00000000E-03       1      1.00000000E+00      3.79728551E-01      7.14869716E-01      5.87169070E-01
      3.00000000E-03       2      1.00000000E+00     -3.79728551E-01     -7.14869716E-01      5.87169070E-01
      3.10000000E-03       1      1.00000000E+00      3.72693701E-01      7.18303512E-01      5.87485718E-01
      3.10000000E-03       2      1.00000000E+00     -3.72693701E-01     -7.18303512E-01      5.87485718E-01
      3.20000000E-03       1      1.00000000E+00      3.65624103E-01      7.21669871E-01      5.87802358E-01
      3.20000000E-03       2      1.00000000E+00     -3.65624103E-01     -7.21669871E-01      5.87802358E-01
      3.30000000E-03       1      1.00000000E+00      3.58520389E-01      7.24968403E-01      5.88118988E-01
      3.30000000E-03       2      1.00000000E+00     -3.58520389E-01     -7.24968403E-01      5.88118988E-01
      3.40000000E-03       1      1.00000000E+00      3.51383197E-01      7.28198724E-01      5.88435610E-01
      3.40000000E-03       2      1.00000000E+00     -3.51383197E-01     -7.28198724E-01      5.88435610E-01
      3.50000000E-03       1      1.00000000E+00      3.44213169E-01      7.31360456E-01      5.88752221E-01
      3.50000000E-03       2      1.00000000E+00     -3.44213169E-01     -7.31360456E-01      5.88752221E-01
      3.60000000E-03       1      1.00000000E+00      3.37010953E-01      7.34453224E-01      5.89068823E-01
      3.60000000E-03       2      1.00000000E+00     -3.37010953E-01     -7.34453224E-01      5.89068823E-01
      3.70000000E-03       1      1.00000000E+00      3.29777200E-01      7.37476665E-01      5.89385415E-01
      3.70000000E-03       2      1.00000000E+00     -3.29777200E-01     -7.37476665E-01      5.89385415E-01
      3.80000000E-03       1      1.00000000E+00      3.22512566E-01      7.40430416E-01      5.89701996E-01
      3.80000000E-03       2      1.00000000E+00     -3.22512566E-01     -7.40430416E-01      5.89701996E-01
      3.90000000E-03       1      1.00000000E+00      3.15217711E-01      7.43314123E-01      5.90018567E-01
      3.90000000E-03       2      1.00000000E+00     -3.15217711E-01     -7.43314123E-01      5.90018567E-01
